"ÈÕÆÚ","Æ·ÖÖ","½»ÊÕÁ¿","µ¥Î»"
"2017-11-07","²»Ðâ¸Ö","119.0","¶Ö"
"2017-11-07","µç½âÄø","534.0","¶Ö"
"2017-11-07","îÜ","5.5","¶Ö"
"2017-11-06","²»Ðâ¸Ö","1627.0","¶Ö"
"2017-11-06","µç½âÄø","487.0","¶Ö"
"2017-11-06","î÷","0.2","¹«½ï"
"2017-11-03","²»Ðâ¸Ö","3824.0","¶Ö"
"2017-11-03","µç½âÄø","701.0","¶Ö"
"2017-11-03","îÜ","1.0","¶Ö"
"2017-11-02","²»Ðâ¸Ö","516.0","¶Ö"
"2017-11-02","µç½âÄø","67.0","¶Ö"
"2017-11-02","îÜ","6.25","¶Ö"
"2017-11-01","²»Ðâ¸Ö","1785.0","¶Ö"
"2017-11-01","µç½âÄø","527.0","¶Ö"
"2017-11-01","îÜ","13.0","¶Ö"
"2017-10-31","²»Ðâ¸Ö","713.0","¶Ö"
"2017-10-31","µç½âÄø","403.0","¶Ö"
"2017-10-31","îÜ","1.0","¶Ö"
"2017-10-30","²»Ðâ¸Ö","89.0","¶Ö"
"2017-10-30","µç½âÄø","402.0","¶Ö"
"2017-10-30","îÜ","7.0","¶Ö"
"2017-10-27","²»Ðâ¸Ö","1379.0","¶Ö"
"2017-10-27","µç½âÄø","400.0","¶Ö"
"2017-10-27","îÜ","5.0","¶Ö"
"2017-10-26","²»Ðâ¸Ö","688.0","¶Ö"
"2017-10-26","µç½âÄø","1701.0","¶Ö"
"2017-10-25","²»Ðâ¸Ö","514.0","¶Ö"
"2017-10-25","µç½âÄø","301.0","¶Ö"
"2017-10-25","îÜ","1.0","¶Ö"
"2017-10-24","²»Ðâ¸Ö","633.0","¶Ö"
"2017-10-24","µç½âÄø","355.0","¶Ö"
"2017-10-23","²»Ðâ¸Ö","853.0","¶Ö"
"2017-10-23","µç½âÄø","452.0","¶Ö"
"2017-10-23","îÜ","0.5","¶Ö"
"2017-10-20","²»Ðâ¸Ö","528.0","¶Ö"
"2017-10-20","µç½âÄø","756.0","¶Ö"
"2017-10-20","îÜ","1.0","¶Ö"
"2017-10-19","²»Ðâ¸Ö","446.0","¶Ö"
"2017-10-19","µç½âÄø","1257.0","¶Ö"
"2017-10-19","îÜ","0.5","¶Ö"
"2017-10-18","²»Ðâ¸Ö","10.0","¶Ö"
"2017-10-18","µç½âÄø","1159.0","¶Ö"
"2017-10-17","²»Ðâ¸Ö","873.0","¶Ö"
"2017-10-17","µç½âÄø","700.0","¶Ö"
"2017-10-17","îÜ","7.0","¶Ö"
"2017-10-16","²»Ðâ¸Ö","254.0","¶Ö"
"2017-10-16","µç½âÄø","900.0","¶Ö"
"2017-10-16","îÜ","6.0","¶Ö"
"2017-10-13","µç½âÄø","688.0","¶Ö"
"2017-10-13","²»Ðâ¸Ö","244.0","¶Ö"
"2017-10-13","îÜ","5.0","¶Ö"
"2017-10-12","µç½âÄø","797.0","¶Ö"
"2017-10-12","²»Ðâ¸Ö","30.0","¶Ö"
"2017-10-12","îÜ","7.0","¶Ö"
"2017-10-12","î÷","0.2","¹«½ï"
"2017-10-11","µç½âÄø","503.0","¶Ö"
"2017-10-11","²»Ðâ¸Ö","19.0","¶Ö"
"2017-10-11","îÜ","3.0","¶Ö"
"2017-10-10","²»Ðâ¸Ö","19.0","¶Ö"
"2017-10-10","µç½âÄø","474.0","¶Ö"
"2017-10-10","îÜ","3.0","¶Ö"
"2017-10-09","²»Ðâ¸Ö","39.0","¶Ö"
"2017-10-09","µç½âÄø","474.0","¶Ö"
"2017-10-09","îÜ","3.0","¶Ö"
"2017-09-29","²»Ðâ¸Ö","214.0","¶Ö"
"2017-09-27","²»Ðâ¸Ö","30.0","¶Ö"
"2017-09-27","µç½âÄø","1132.0","¶Ö"
"2017-09-26","²»Ðâ¸Ö","128.0","¶Ö"
"2017-09-26","µç½âÄø","2193.0","¶Ö"
"2017-09-26","îÜ","3.5","¶Ö"
"2017-09-25","²»Ðâ¸Ö","49.0","¶Ö"
"2017-09-25","µç½âÄø","1029.0","¶Ö"
"2017-09-22","µç½âÄø","403.0","¶Ö"
"2017-09-22","îÜ","0.5","¶Ö"
"2017-09-21","²»Ðâ¸Ö","194.0","¶Ö"
"2017-09-21","µç½âÄø","816.0","¶Ö"
"2017-09-21","îÜ","1.0","¶Ö"
"2017-09-20","µç½âÄø","875.0","¶Ö"
"2017-09-20","îÜ","1.75","¶Ö"
"2017-09-19","²»Ðâ¸Ö","207.0","¶Ö"
"2017-09-19","µç½âÄø","543.0","¶Ö"
"2017-09-18","µç½âÄø","608.0","¶Ö"
"2017-09-18","îÜ","3.0","¶Ö"
"2017-09-18","²»Ðâ¸Ö","865.0","¶Ö"
"2017-09-15","µç½âÄø","1023.0","¶Ö"
"2017-09-15","Îý","0.0","¶Ö"
"2017-09-15","îÜ","0.0","¶Ö"
"2017-09-15","î÷","0.0","¹«½ï"
"2017-09-14","µç½âÄø","708.0","¶Ö"
"2017-09-14","Îý","0.0","¶Ö"
"2017-09-14","îÜ","0.0","¶Ö"
"2017-09-14","î÷","0.0","¹«½ï"
"2017-09-13","µç½âÄø","835.0","¶Ö"
"2017-09-13","Îý","0.0","¶Ö"
"2017-09-13","îÜ","0.0","¶Ö"
"2017-09-13","î÷","0.0","¹«½ï"
"2017-09-12","µç½âÄø","1201.0","¶Ö"
"2017-09-12","Îý","0.0","¶Ö"
"2017-09-12","îÜ","255.75","¶Ö"
"2017-09-12","î÷","8.1","¹«½ï"
"2017-09-11","µç½âÄø","1017.0","¶Ö"
"2017-09-11","Îý","0.0","¶Ö"
"2017-09-11","îÜ","1.0","¶Ö"
"2017-09-11","î÷","0.0","¹«½ï"
"2017-09-08","µç½âÄø","866.0","¶Ö"
"2017-09-08","Îý","0.0","¶Ö"
"2017-09-08","îÜ","11.5","¶Ö"
"2017-09-08","î÷","0.0","¹«½ï"
"2017-09-08","²»Ðâ¸Ö","68.0","¶Ö"
"2017-09-07","µç½âÄø","888.0","¶Ö"
"2017-09-07","Îý","0.0","¶Ö"
"2017-09-07","îÜ","0.5","¶Ö"
"2017-09-07","î÷","0.0","¹«½ï"
"2017-09-06","µç½âÄø","785.0","¶Ö"
"2017-09-06","Îý","0.0","¶Ö"
"2017-09-06","îÜ","0.0","¶Ö"
"2017-09-06","î÷","0.0","¹«½ï"
"2017-09-06","²»Ðâ¸Ö","69.0","¶Ö"
"2017-09-05","µç½âÄø","617.0","¶Ö"
"2017-09-05","Îý","0.0","¶Ö"
"2017-09-05","îÜ","1.0","¶Ö"
"2017-09-05","î÷","0.0","¹«½ï"
"2017-09-04","µç½âÄø","849.0","¶Ö"
"2017-09-04","Îý","0.0","¶Ö"
"2017-09-04","îÜ","0.0","¶Ö"
"2017-09-04","î÷","0.1","¹«½ï"
"2017-09-04","²»Ðâ¸Ö","144.0","¶Ö"
"2017-09-01","µç½âÄø","367.0","¶Ö"
"2017-09-01","Îý","0.0","¶Ö"
"2017-09-01","îÜ","2.0","¶Ö"
"2017-09-01","î÷","0.0","¹«½ï"
"2017-09-01","²»Ðâ¸Ö","23.0","¶Ö"
"2017-08-31","µç½âÄø","437.0","¶Ö"
"2017-08-31","Îý","0.0","¶Ö"
"2017-08-31","îÜ","1.0","¶Ö"
"2017-08-31","î÷","0.0","¹«½ï"
"2017-08-30","µç½âÄø","454.0","¶Ö"
"2017-08-30","Îý","0.0","¶Ö"
"2017-08-30","îÜ","30.0","¶Ö"
"2017-08-30","î÷","0.0","¹«½ï"
"2017-08-29","µç½âÄø","433.0","¶Ö"
"2017-08-29","Îý","0.0","¶Ö"
"2017-08-29","îÜ","5.0","¶Ö"
"2017-08-29","î÷","0.0","¹«½ï"
"2017-08-28","µç½âÄø","1084.0","¶Ö"
"2017-08-28","Îý","0.0","¶Ö"
"2017-08-28","îÜ","8.75","¶Ö"
"2017-08-28","î÷","0.0","¹«½ï"
"2017-08-28","²»Ðâ¸Ö","58.0","¶Ö"
"2017-08-25","µç½âÄø","581.0","¶Ö"
"2017-08-25","Îý","0.0","¶Ö"
"2017-08-25","îÜ","3.0","¶Ö"
"2017-08-25","î÷","0.0","¹«½ï"
"2017-08-25","²»Ðâ¸Ö","798.0","¶Ö"
"2017-08-24","µç½âÄø","820.0","¶Ö"
"2017-08-24","Îý","0.0","¶Ö"
"2017-08-24","îÜ","2.0","¶Ö"
"2017-08-24","î÷","0.0","¹«½ï"
"2017-08-24","²»Ðâ¸Ö","567.0","¶Ö"
"2017-08-23","µç½âÄø","909.0","¶Ö"
"2017-08-23","Îý","0.0","¶Ö"
"2017-08-23","îÜ","4.0","¶Ö"
"2017-08-23","î÷","0.0","¹«½ï"
"2017-08-23","²»Ðâ¸Ö","49.0","¶Ö"
"2017-08-22","µç½âÄø","673.0","¶Ö"
"2017-08-22","Îý","0.0","¶Ö"
"2017-08-22","îÜ","1.0","¶Ö"
"2017-08-22","î÷","0.0","¹«½ï"
"2017-08-22","²»Ðâ¸Ö","299.0","¶Ö"
"2017-08-21","µç½âÄø","829.0","¶Ö"
"2017-08-21","Îý","0.0","¶Ö"
"2017-08-21","îÜ","0.0","¶Ö"
"2017-08-21","î÷","0.0","¹«½ï"
"2017-08-18","µç½âÄø","1323.0","¶Ö"
"2017-08-18","Îý","0.0","¶Ö"
"2017-08-18","îÜ","0.0","¶Ö"
"2017-08-18","î÷","0.0","¹«½ï"
"2017-08-17","µç½âÄø","436.0","¶Ö"
"2017-08-17","Îý","0.0","¶Ö"
"2017-08-17","îÜ","1.0","¶Ö"
"2017-08-17","î÷","0.0","¹«½ï"
